date,team,opp,mpg,orig_ppg,orig_scaled,opp_orig_scaled,diff_orig,pred_scaled,opp_pred_scaled,diff_pred
2016-11-13,LAL,MIN,241.7675,113.0,112.173886068,105.940674147,-6.23321192131,110.789227852,104.316244062,-6.47298379073
2016-11-13,MIN,LAL,173.078,76.4,105.940674147,112.173886068,6.23321192131,104.316244062,110.789227852,6.47298379073
2016-11-13,OKC,ORL,251.808333333,106.833333333,101.823476851,93.8657206338,-7.95775621696,104.173388236,94.9626274493,-9.21076078619
2016-11-13,ORL,OKC,218.738,85.55,93.8657206338,101.823476851,7.95775621696,94.9626274493,104.173388236,9.21076078619
2016-11-13,PHO,GSW,231.156666667,104.666666667,108.670886989,117.89699202,9.22610503127,108.860794283,117.083560266,8.22276598243
2016-11-13,POR,DEN,224.55,99.1,105.918503674,102.426031435,-3.49247223918,108.086398358,104.785376846,-3.30102151278
2016-11-14,BOS,NOP,217.867666667,100.4,110.599247555,102.935979402,-7.66326815368,113.344545617,102.276159189,-11.068386428
2016-11-14,BRK,LAC,186.49,87.0,111.963107941,108.952015738,-3.01109220335,102.981096415,108.30304469,5.32194827513
2016-11-14,DAL,NYK,233.721333333,96.8666666667,99.4688831714,105.094508221,5.62562505003,98.728435943,106.041350525,7.31291458226
2016-11-14,DET,OKC,211.745,86.1666666667,97.6646437932,102.056995269,4.39235147536,99.5610436797,101.71267679,2.15163311071
2016-11-14,HOU,PHI,258.030833333,112.5,104.638657525,104.203321757,-0.435335767545,107.916905784,100.202560352,-7.71434543219
2016-11-14,IND,ORL,278.015166667,120.816666667,104.296468238,97.2854770556,-7.01099118262,108.275310651,93.7682444794,-14.5070661714
2016-11-14,LAC,BRK,230.5235,104.65,108.952015738,111.963107941,3.01109220335,108.30304469,102.981096415,-5.32194827513
2016-11-14,MEM,UTA,200.3755,85.1,101.928628999,94.3802364473,-7.54839255173,106.322452069,91.660597948,-14.661854121
2016-11-14,MIA,SAS,208.398166667,79.1166666667,91.1140453091,96.6093971107,5.49535180157,91.0414311091,93.7119377131,2.67050660402
2016-11-14,NOP,BOS,217.883,93.45,102.935979402,110.599247555,7.66326815368,102.276159189,113.344545617,11.068386428
2016-11-14,NYK,DAL,234.265333333,102.583333333,105.094508221,99.4688831714,-5.62562505003,106.041350525,98.728435943,-7.31291458226
2016-11-14,OKC,DET,237.984666667,101.2,102.056995269,97.6646437932,-4.39235147536,101.71267679,99.5610436797,-2.15163311071
2016-11-14,ORL,IND,243.284,98.6166666667,97.2854770556,104.296468238,7.01099118262,93.7682444794,108.275310651,14.5070661714
2016-11-14,PHI,HOU,271.3925,117.833333333,104.203321757,104.638657525,0.435335767545,100.202560352,107.916905784,7.71434543219
2016-11-14,SAS,MIA,250.162,100.7,96.6093971107,91.1140453091,-5.49535180157,93.7119377131,91.0414311091,-2.67050660402
2016-11-14,UTA,MEM,201.313333333,79.1666666667,94.3802364473,101.928628999,7.54839255173,91.660597948,106.322452069,14.661854121
